table value,free-free value,ratio,frequency(Hz),temperature(K),density(g/cm3)
1.82075e-16,1.76467e-19,1031.78,2.41799e+14,5802.26,7.7426e-16
1.04572e-15,3.52556e-20,29661,4.29991e+14,5802.26,7.7426e-16
7.5375e-13,6.44211e-21,1.17003e+08,7.64641e+14,5802.26,7.7426e-16
1.2934e-13,1.14766e-21,1.12699e+08,1.35973e+15,5802.26,7.7426e-16
7.15385e-09,2.04088e-22,3.50529e+13,2.41799e+15,5802.26,7.7426e-16
1.29123e-10,3.62912e-23,3.55798e+12,4.29991e+15,5802.26,7.7426e-16
1.87131e-10,6.45368e-24,2.8996e+13,7.64641e+15,5802.26,7.7426e-16
5.15448e-11,1.14768e-24,4.49123e+13,1.35973e+16,5802.26,7.7426e-16
1.2416e-11,2.04088e-25,6.08368e+13,2.41799e+16,5802.26,7.7426e-16
2.85013e-12,3.62912e-26,7.8535e+13,4.29991e+16,5802.26,7.7426e-16
7.1794e-13,6.45368e-27,1.11245e+14,7.64641e+16,5802.26,7.7426e-16
2.40555e-13,1.14768e-27,2.09602e+14,1.35973e+17,5802.26,7.7426e-16
8.20716e-14,2.04088e-28,4.02139e+14,2.41799e+17,5802.26,7.7426e-16
1.87139e-14,3.62912e-29,5.15658e+14,4.29991e+17,5802.26,7.7426e-16
4.65098e-15,6.45368e-30,7.20671e+14,7.64641e+17,5802.26,7.7426e-16
9.28957e-16,1.14768e-30,8.09424e+14,1.35973e+18,5802.26,7.7426e-16
2.3922e-16,2.94368e-19,812.656,2.41799e+14,5802.26,1e-15
1.37e-15,5.88105e-20,23295.2,4.29991e+14,5802.26,1e-15
1.0007e-12,1.07462e-20,9.31213e+07,7.64641e+14,5802.26,1e-15
1.6881e-13,1.91443e-21,8.81775e+07,1.35973e+15,5802.26,1e-15
1.4446e-08,3.40442e-22,4.24331e+13,2.41799e+15,5802.26,1e-15
1.9841e-10,6.05379e-23,3.27745e+12,4.29991e+15,5802.26,1e-15
2.4832e-10,1.07655e-23,2.30663e+13,7.64641e+15,5802.26,1e-15
6.7752e-11,1.91446e-24,3.53896e+13,1.35973e+16,5802.26,1e-15
1.6252e-11,3.40442e-25,4.7738e+13,2.41799e+16,5802.26,1e-15
3.7163e-12,6.05379e-26,6.13879e+13,4.29991e+16,5802.26,1e-15
9.3294e-13,1.07655e-26,8.66603e+13,7.64641e+16,5802.26,1e-15
3.1732e-13,1.91446e-27,1.65749e+14,1.35973e+17,5802.26,1e-15
1.0616e-13,3.40442e-28,3.1183e+14,2.41799e+17,5802.26,1e-15
2.4185e-14,6.05379e-29,3.99501e+14,4.29991e+17,5802.26,1e-15
6.0099e-15,1.07655e-29,5.58256e+14,7.64641e+17,5802.26,1e-15
1.2e-15,1.91446e-30,6.26809e+14,1.35973e+18,5802.26,1e-15
3.1572e-16,4.90998e-19,643.018,2.41799e+14,5802.26,1.2915e-15
1.80164e-15,9.80942e-20,18366.5,4.29991e+14,5802.26,1.2915e-15
1.33786e-12,1.79244e-20,7.46395e+07,7.64641e+14,5802.26,1.2915e-15
2.20937e-13,3.19322e-21,6.91894e+07,1.35973e+15,5802.26,1.2915e-15
2.73423e-08,5.67847e-22,4.81509e+13,2.41799e+15,5802.26,1.2915e-15
3.09043e-10,1.00976e-22,3.06057e+12,4.29991e+15,5802.26,1.2915e-15
3.31761e-10,1.79565e-23,1.84758e+13,7.64641e+15,5802.26,1.2915e-15
8.94661e-11,3.19326e-24,2.80171e+13,1.35973e+16,5802.26,1.2915e-15
2.13498e-11,5.67847e-25,3.75978e+13,2.41799e+16,5802.26,1.2915e-15
4.85836e-12,1.00976e-25,4.81142e+13,4.29991e+16,5802.26,1.2915e-15
1.21436e-12,1.79565e-26,6.76277e+13,7.64641e+16,5802.26,1.2915e-15
4.20887e-13,3.19326e-27,1.31805e+14,1.35973e+17,5802.26,1.2915e-15
1.37351e-13,5.67847e-28,2.4188e+14,2.41799e+17,5802.26,1.2915e-15
3.12608e-14,1.00976e-28,3.09587e+14,4.29991e+17,5802.26,1.2915e-15
7.76669e-15,1.79565e-29,4.32528e+14,7.64641e+17,5802.26,1.2915e-15
1.55019e-15,3.19326e-30,4.85456e+14,1.35973e+18,5802.26,1.2915e-15
4.1906e-16,8.19096e-19,511.613,2.41799e+14,5802.26,1.6681e-15
2.38105e-15,1.63643e-19,14550.2,4.29991e+14,5802.26,1.6681e-15
1.80372e-12,2.99019e-20,6.03211e+07,7.64641e+14,5802.26,1.6681e-15
2.90249e-13,5.32702e-21,5.44863e+07,1.35973e+15,5802.26,1.6681e-15
4.98028e-08,9.47299e-22,5.25735e+13,2.41799e+15,5802.26,1.6681e-15
4.87219e-10,1.6845e-22,2.89236e+12,4.29991e+15,5802.26,1.6681e-15
4.46934e-10,2.99556e-23,1.49199e+13,7.64641e+15,5802.26,1.6681e-15
1.18832e-10,5.32709e-24,2.23071e+13,1.35973e+16,5802.26,1.6681e-15
2.81775e-11,9.47299e-25,2.97452e+13,2.41799e+16,5802.26,1.6681e-15
6.37314e-12,1.6845e-25,3.7834e+13,4.29991e+16,5802.26,1.6681e-15
1.58426e-12,2.99556e-26,5.2887e+13,7.64641e+16,5802.26,1.6681e-15
5.62083e-13,5.32709e-27,1.05514e+14,1.35973e+17,5802.26,1.6681e-15
1.77836e-13,9.47299e-28,1.8773e+14,2.41799e+17,5802.26,1.6681e-15
4.04197e-14,1.6845e-28,2.3995e+14,4.29991e+17,5802.26,1.6681e-15
1.00398e-14,2.99556e-29,3.35156e+14,7.64641e+17,5802.26,1.6681e-15
2.00272e-15,5.32709e-30,3.7595e+14,1.35973e+18,5802.26,1.6681e-15
5.45753e-16,1.36629e-18,399.441,2.41799e+14,5802.26,2.1544e-15
3.09717e-15,2.72965e-19,11346.4,4.29991e+14,5802.26,2.1544e-15
2.35821e-12,4.98778e-20,4.72797e+07,7.64641e+14,5802.26,2.1544e-15
3.76632e-13,8.88572e-21,4.23862e+07,1.35973e+15,5802.26,2.1544e-15
6.69394e-08,1.58014e-21,4.23629e+13,2.41799e+15,5802.26,2.1544e-15
6.96711e-10,2.80983e-22,2.47955e+12,4.29991e+15,5802.26,2.1544e-15
5.9134e-10,4.99673e-23,1.18345e+13,7.64641e+15,5802.26,2.1544e-15
1.56035e-10,8.88584e-24,1.75599e+13,1.35973e+16,5802.26,2.1544e-15
3.68553e-11,1.58014e-24,2.33241e+13,2.41799e+16,5802.26,2.1544e-15
8.30629e-12,2.80983e-25,2.95615e+13,4.29991e+16,5802.26,2.1544e-15
2.05829e-12,4.99673e-26,4.11927e+13,7.64641e+16,5802.26,2.1544e-15
7.3422e-13,8.88584e-27,8.2628e+13,1.35973e+17,5802.26,2.1544e-15
2.29982e-13,1.58014e-27,1.45545e+14,2.41799e+17,5802.26,2.1544e-15
5.22399e-14,2.80983e-28,1.85918e+14,4.29991e+17,5802.26,2.1544e-15
1.29725e-14,4.99673e-29,2.5962e+14,7.64641e+17,5802.26,2.1544e-15
2.58722e-15,8.88584e-30,2.91162e+14,1.35973e+18,5802.26,2.1544e-15
7.0884e-16,2.27925e-18,310.997,2.41799e+14,5802.26,2.7826e-15
4.02002e-15,4.55361e-19,8828.2,4.29991e+14,5802.26,2.7826e-15
3.06949e-12,8.32063e-20,3.68901e+07,7.64641e+14,5802.26,2.7826e-15
4.87818e-13,1.48232e-20,3.29091e+07,1.35973e+15,5802.26,2.7826e-15
8.54564e-08,2.63599e-21,3.24191e+13,2.41799e+15,5802.26,2.7826e-15
9.92609e-10,4.68737e-22,2.11762e+12,4.29991e+15,5802.26,2.7826e-15
7.83191e-10,8.33557e-23,9.39577e+12,7.64641e+15,5802.26,2.7826e-15
2.05075e-10,1.48234e-23,1.38345e+13,1.35973e+16,5802.26,2.7826e-15
4.82419e-11,2.63599e-24,1.83012e+13,2.41799e+16,5802.26,2.7826e-15
1.08321e-11,4.68737e-25,2.31091e+13,4.29991e+16,5802.26,2.7826e-15
2.67528e-12,8.33557e-26,3.20947e+13,7.64641e+16,5802.26,2.7826e-15
9.56519e-13,1.48234e-26,6.45277e+13,1.35973e+17,5802.26,2.7826e-15
2.9746e-13,2.63599e-27,1.12845e+14,2.41799e+17,5802.26,2.7826e-15
6.75226e-14,4.68737e-28,1.44052e+14,4.29991e+17,5802.26,2.7826e-15
1.67629e-14,8.33557e-29,2.01101e+14,7.64641e+17,5802.26,2.7826e-15
3.34246e-15,1.48234e-29,2.25486e+14,1.35973e+18,5802.26,2.7826e-15
9.22061e-16,3.80188e-18,242.528,2.41799e+14,5802.26,3.5938e-15
5.22467e-15,7.5956e-19,6878.54,4.29991e+14,5802.26,3.5938e-15
4.00349e-12,1.38791e-19,2.88454e+07,7.64641e+14,5802.26,3.5938e-15
6.32329e-13,2.47257e-20,2.55738e+07,1.35973e+15,5802.26,3.5938e-15
1.08698e-07,4.39694e-21,2.47213e+13,2.41799e+15,5802.26,3.5938e-15
1.43669e-09,7.81872e-22,1.83751e+12,4.29991e+15,5802.26,3.5938e-15
1.04386e-09,1.39041e-22,7.50756e+12,7.64641e+15,5802.26,3.5938e-15
2.70768e-10,2.4726e-23,1.09507e+13,1.35973e+16,5802.26,3.5938e-15
6.33731e-11,4.39694e-24,1.4413e+13,2.41799e+16,5802.26,3.5938e-15
1.41632e-11,7.81872e-25,1.81144e+13,4.29991e+16,5802.26,3.5938e-15
3.48322e-12,1.39041e-25,2.50518e+13,7.64641e+16,5802.26,3.5938e-15
1.24903e-12,2.4726e-26,5.05147e+13,1.35973e+17,5802.26,3.5938e-15
3.84824e-13,4.39694e-27,8.75209e+13,2.41799e+17,5802.26,3.5938e-15
8.72898e-14,7.81872e-28,1.11642e+14,4.29991e+17,5802.26,3.5938e-15
2.16627e-14,1.39041e-28,1.55801e+14,7.64641e+17,5802.26,3.5938e-15
4.31831e-15,2.4726e-29,1.74647e+14,1.35973e+18,5802.26,3.5938e-15
1.2019e-15,6.342e-18,189.514,2.41799e+14,5802.26,4.6416e-15
6.80273e-15,1.26704e-18,5369,4.29991e+14,5802.26,4.6416e-15
5.23665e-12,2.31521e-19,2.26185e+07,7.64641e+14,5802.26,4.6416e-15
8.20449e-13,4.12454e-20,1.98919e+07,1.35973e+15,5802.26,4.6416e-15
1.376e-07,7.33463e-21,1.87604e+13,2.41799e+15,5802.26,4.6416e-15
2.11365e-09,1.30426e-21,1.62057e+12,4.29991e+15,5802.26,4.6416e-15
1.40218e-09,2.31936e-22,6.04554e+12,7.64641e+15,5802.26,4.6416e-15
3.59571e-10,4.12459e-23,8.71773e+12,1.35973e+16,5802.26,4.6416e-15
8.36277e-11,7.33463e-24,1.14018e+13,2.41799e+16,5802.26,4.6416e-15
1.85808e-11,1.30426e-24,1.42463e+13,4.29991e+16,5802.26,4.6416e-15
4.54552e-12,2.31936e-25,1.95981e+13,7.64641e+16,5802.26,4.6416e-15
1.63602e-12,4.12459e-26,3.96651e+13,1.35973e+17,5802.26,4.6416e-15
4.98183e-13,7.33463e-27,6.7922e+13,2.41799e+17,5802.26,4.6416e-15
1.12884e-13,1.30426e-27,8.65502e+13,4.29991e+17,5802.26,4.6416e-15
2.80005e-14,2.31936e-28,1.20725e+14,7.64641e+17,5802.26,4.6416e-15
5.58013e-15,4.12459e-29,1.35289e+14,1.35973e+18,5802.26,4.6416e-15
1.57064e-15,1.05789e-17,148.469,2.41799e+14,5802.26,5.9948e-15
8.8771e-15,2.11351e-18,4200.17,4.29991e+14,5802.26,5.9948e-15
6.87244e-12,3.86193e-19,1.77954e+07,7.64641e+14,5802.26,5.9948e-15
1.066e-12,6.88002e-20,1.54941e+07,1.35973e+15,5802.26,5.9948e-15
1.73064e-07,1.22347e-20,1.41454e+13,2.41799e+15,5802.26,5.9948e-15
3.1604e-09,2.17559e-21,1.45266e+12,4.29991e+15,5802.26,5.9948e-15
1.90101e-09,3.86886e-22,4.91362e+12,7.64641e+15,5802.26,5.9948e-15
4.80843e-10,6.88011e-23,6.98889e+12,1.35973e+16,5802.26,5.9948e-15
1.1097e-10,1.22347e-23,9.07011e+12,2.41799e+16,5802.26,5.9948e-15
2.44798e-11,2.17559e-24,1.1252e+13,4.29991e+16,5802.26,5.9948e-15
5.94864e-12,3.86886e-25,1.53757e+13,7.64641e+16,5802.26,5.9948e-15
2.15105e-12,6.88011e-26,3.12648e+13,1.35973e+17,5802.26,5.9948e-15
6.4528e-13,1.22347e-26,5.2742e+13,2.41799e+17,5802.26,5.9948e-15
1.46027e-13,2.17559e-27,6.71208e+13,4.29991e+17,5802.26,5.9948e-15
3.61996e-14,3.86886e-28,9.35666e+13,7.64641e+17,5802.26,5.9948e-15
7.21114e-15,6.88011e-29,1.04812e+14,1.35973e+18,5802.26,5.9948e-15
2.04304e-15,1.76467e-17,115.774,2.41799e+14,5802.26,7.7426e-15
1.15396e-14,3.52556e-18,3273.12,4.29991e+14,5802.26,7.7426e-15
8.96206e-12,6.44211e-19,1.39117e+07,7.64641e+14,5802.26,7.7426e-15
1.38174e-12,1.14766e-19,1.20397e+07,1.35973e+15,5802.26,7.7426e-15
2.1629e-07,2.04088e-20,1.05979e+13,2.41799e+15,5802.26,7.7426e-15
4.46647e-09,3.62912e-21,1.23073e+12,4.29991e+15,5802.26,7.7426e-15
2.53562e-09,6.45368e-22,3.92896e+12,7.64641e+15,5802.26,7.7426e-15
6.35729e-10,1.14768e-22,5.53927e+12,1.35973e+16,5802.26,7.7426e-15
1.45979e-10,2.04088e-23,7.15276e+12,2.41799e+16,5802.26,7.7426e-15
3.20466e-11,3.62912e-24,8.83041e+12,4.29991e+16,5802.26,7.7426e-15
7.75267e-12,6.45368e-25,1.20128e+13,7.64641e+16,5802.26,7.7426e-15
2.80932e-12,1.14768e-25,2.44784e+13,1.35973e+17,5802.26,7.7426e-15
8.35117e-13,2.04088e-26,4.09195e+13,2.41799e+17,5802.26,7.7426e-15
1.88811e-13,3.62912e-27,5.20267e+13,4.29991e+17,5802.26,7.7426e-15
4.67862e-14,6.45368e-28,7.24954e+13,7.64641e+17,5802.26,7.7426e-15
9.31744e-15,1.14768e-28,8.11853e+13,1.35973e+18,5802.26,7.7426e-15
2.6434e-15,2.94368e-17,89.7992,2.41799e+14,5802.26,1e-14
1.4932e-14,5.88105e-18,2539,4.29991e+14,5802.26,1e-14
1.1598e-11,1.07462e-18,1.07927e+07,7.64641e+14,5802.26,1e-14
1.7861e-12,1.91443e-19,9.32965e+06,1.35973e+15,5802.26,1e-14
2.6793e-07,3.40442e-20,7.87007e+12,2.41799e+15,5802.26,1e-14
6.0053e-09,6.05379e-21,9.91989e+11,4.29991e+15,5802.26,1e-14
3.3241e-09,1.07655e-21,3.08774e+12,7.64641e+15,5802.26,1e-14
8.3013e-10,1.91446e-22,4.33611e+12,1.35973e+16,5802.26,1e-14
1.9016e-10,3.40442e-23,5.58568e+12,2.41799e+16,5802.26,1e-14
4.1654e-11,6.05379e-24,6.88064e+12,4.29991e+16,5802.26,1e-14
1.0056e-11,1.07655e-24,9.34096e+12,7.64641e+16,5802.26,1e-14
3.6408e-12,1.91446e-25,1.90174e+13,1.35973e+17,5802.26,1e-14
1.0796e-12,3.40442e-26,3.17117e+13,2.41799e+17,5802.26,1e-14
2.44e-13,6.05379e-27,4.03053e+13,4.29991e+17,5802.26,1e-14
6.0446e-14,1.07655e-27,5.6148e+13,7.64641e+17,5802.26,1e-14
1.2036e-14,1.91446e-28,6.2869e+13,1.35973e+18,5802.26,1e-14
3.4217e-15,4.90998e-17,69.6887,2.41799e+14,5802.26,1.2915e-14
1.93312e-14,9.80942e-18,1970.67,4.29991e+14,5802.26,1.2915e-14
1.50189e-11,1.79244e-18,8.37902e+06,7.64641e+14,5802.26,1.2915e-14
2.30933e-12,3.19322e-19,7.23198e+06,1.35973e+15,5802.26,1.2915e-14
3.26969e-07,5.67847e-20,5.75804e+12,2.41799e+15,5802.26,1.2915e-14
8.1504e-09,1.00976e-20,8.07165e+11,4.29991e+15,5802.26,1.2915e-14
4.37521e-09,1.79565e-21,2.43656e+12,7.64641e+15,5802.26,1.2915e-14
1.0872e-09,3.19326e-22,3.40466e+12,1.35973e+16,5802.26,1.2915e-14
2.48304e-10,5.67847e-23,4.37272e+12,2.41799e+16,5802.26,1.2915e-14
5.42365e-11,1.00976e-23,5.37125e+12,4.29991e+16,5802.26,1.2915e-14
1.30584e-11,1.79565e-24,7.27221e+12,7.64641e+16,5802.26,1.2915e-14
4.72276e-12,3.19326e-25,1.47898e+13,1.35973e+17,5802.26,1.2915e-14
1.39598e-12,5.67847e-26,2.45838e+13,2.41799e+17,5802.26,1.2915e-14
3.15346e-13,1.00976e-26,3.12299e+13,4.29991e+17,5802.26,1.2915e-14
7.80983e-14,1.79565e-27,4.3493e+13,7.64641e+17,5802.26,1.2915e-14
1.55484e-14,3.19326e-28,4.86912e+13,1.35973e+18,5802.26,1.2915e-14
4.43231e-15,8.19096e-17,54.1122,2.41799e+14,5802.26,1.6681e-14
2.50465e-14,1.63643e-17,1530.55,4.29991e+14,5802.26,1.6681e-14
1.94634e-11,2.99019e-18,6.50908e+06,7.64641e+14,5802.26,1.6681e-14
2.9869e-12,5.32702e-19,5.60707e+06,1.35973e+15,5802.26,1.6681e-14
3.90536e-07,9.47299e-20,4.12262e+12,2.41799e+15,5802.26,1.6681e-14
1.11853e-08,1.6845e-20,6.6401e+11,4.29991e+15,5802.26,1.6681e-14
5.78797e-09,2.99556e-21,1.93219e+12,7.64641e+15,5802.26,1.6681e-14
1.42939e-09,5.32709e-22,2.68326e+12,1.35973e+16,5802.26,1.6681e-14
3.25229e-10,9.47299e-23,3.43323e+12,2.41799e+16,5802.26,1.6681e-14
7.07858e-11,1.6845e-23,4.20218e+12,4.29991e+16,5802.26,1.6681e-14
1.69846e-11,2.99556e-24,5.66993e+12,7.64641e+16,5802.26,1.6681e-14
6.13444e-12,5.32709e-25,1.15156e+13,1.35973e+17,5802.26,1.6681e-14
1.80589e-12,9.47299e-26,1.90635e+13,2.41799e+17,5802.26,1.6681e-14
4.07667e-13,1.6845e-26,2.4201e+13,4.29991e+17,5802.26,1.6681e-14
1.00925e-13,2.99556e-27,3.36916e+13,7.64641e+17,5802.26,1.6681e-14
2.00889e-14,5.32709e-28,3.77109e+13,1.35973e+18,5802.26,1.6681e-14
5.746e-15,1.36629e-16,42.0555,2.41799e+14,5802.26,2.1544e-14
3.24776e-14,2.72965e-17,1189.81,4.29991e+14,5802.26,2.1544e-14
2.52496e-11,4.98778e-18,5.06228e+06,7.64641e+14,5802.26,2.1544e-14
3.86478e-12,8.88572e-19,4.34942e+06,1.35973e+15,5802.26,2.1544e-14
4.51368e-07,1.58014e-19,2.85651e+12,2.41799e+15,5802.26,2.1544e-14
1.55442e-08,2.80983e-20,5.53208e+11,4.29991e+15,5802.26,2.1544e-14
7.7037e-09,4.99673e-21,1.54175e+12,7.64641e+15,5802.26,2.1544e-14
1.88809e-09,8.88584e-22,2.12484e+12,1.35973e+16,5802.26,2.1544e-14
4.27605e-10,1.58014e-22,2.70612e+12,2.41799e+16,5802.26,2.1544e-14
9.26457e-11,2.80983e-23,3.2972e+12,4.29991e+16,5802.26,2.1544e-14
2.21343e-11,4.99673e-24,4.42975e+12,7.64641e+16,5802.26,2.1544e-14
7.98033e-12,8.88584e-25,8.98095e+12,1.35973e+17,5802.26,2.1544e-14
2.33709e-12,1.58014e-25,1.47904e+13,2.41799e+17,5802.26,2.1544e-14
5.27139e-13,2.80983e-26,1.87605e+13,4.29991e+17,5802.26,2.1544e-14
1.30438e-13,4.99673e-27,2.61047e+13,7.64641e+17,5802.26,2.1544e-14
2.59584e-14,8.88584e-28,2.92132e+13,1.35973e+18,5802.26,2.1544e-14
7.45737e-15,2.27925e-16,32.7185,2.41799e+14,5802.26,2.7826e-14
4.21647e-14,4.55361e-17,925.962,4.29991e+14,5802.26,2.7826e-14
3.27957e-11,8.32063e-18,3.94149e+06,7.64641e+14,5802.26,2.7826e-14
5.00339e-12,1.48232e-18,3.37538e+06,1.35973e+15,5802.26,2.7826e-14
4.94551e-07,2.63599e-19,1.87615e+12,2.41799e+15,5802.26,2.7826e-14
2.19085e-08,4.68737e-20,4.67395e+11,4.29991e+15,5802.26,2.7826e-14
1.03312e-08,8.33557e-21,1.23942e+12,7.64641e+15,5802.26,2.7826e-14
2.50871e-09,1.48234e-21,1.6924e+12,1.35973e+16,5802.26,2.7826e-14
5.64868e-10,2.63599e-22,2.1429e+12,2.41799e+16,5802.26,2.7826e-14
1.21703e-10,4.68737e-23,2.59639e+12,4.29991e+16,5802.26,2.7826e-14
